date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:49	351550/351550	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://jyywiki.cn/OS/img/eniacrun.jpg	jyywiki.cn/OS/img/eniacrun.jpg	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:51	909482/909482	---M--	200	added ('OK')	image/gif	etag:W/%22de0aa-18de4849385%22	https://jyywiki.cn/OS/img/throw-ball.gif	jyywiki.cn/OS/img/throw-ball.gif	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:51	100508/100508	---M--	200	added ('OK')	image/webp	etag:W/%221889c-18de484937d%22	https://jyywiki.cn/OS/img/first-bug.webp	jyywiki.cn/OS/img/first-bug.webp	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:52	97488/97488	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/ERA-1101.webp	jyywiki.cn/OS/img/ERA-1101.webp	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:53	284064/284064	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/fortran-card.webp	jyywiki.cn/OS/img/fortran-card.webp	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:54	62732/62732	---M--	200	added ('OK')	image/webp	etag:W/%22f50c-18de484937d%22	https://jyywiki.cn/OS/img/sketchpad.webp	jyywiki.cn/OS/img/sketchpad.webp	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:55	215190/215190	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/spacewar.webp	jyywiki.cn/OS/img/spacewar.webp	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:56	2169/2169	---MCZ	404	error ('Not%20Found')	text/html	etag:%22y13uhz964d1o9%22	https://jyywiki.cn/OS/2025/slides/img/visicalc.webp%22	jyywiki.cn/OS/2025/slides/img/visicalc.547.delayed	(from https://jyywiki.cn/OS/2025/slides/1.3.html)
20:00:57	20962/20962	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/xkcd-tar.webp	jyywiki.cn/OS/img/xkcd-tar.webp	(from https://jyywiki.cn/OS/2025/slides/1.4.html)
20:00:59	3083928/3083928	---M--	200	added ('OK')	image/gif	etag:W/%222f0e98-18de4849379%22	https://jyywiki.cn/OS/img/ascii-patrol.gif	jyywiki.cn/OS/img/ascii-patrol.gif	(from https://jyywiki.cn/OS/2025/slides/1.4.html)
20:00:59	104214/104214	---M--	200	added ('OK')	image/webp	etag:W/%2219716-18df037a3e3%22	https://jyywiki.cn/OS/img/tower-of-hanoi.webp	jyywiki.cn/OS/img/tower-of-hanoi.webp	(from https://jyywiki.cn/OS/2025/slides/2.1.html)
20:01:00	118222/118222	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/minix3-desktop.webp	jyywiki.cn/OS/img/minix3-desktop.webp	(from https://jyywiki.cn/OS/2025/slides/2.3.html)
20:01:01	87966/87966	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/98mj3.webp	jyywiki.cn/OS/img/98mj3.webp	(from https://jyywiki.cn/OS/2025/slides/2.3.html)
20:01:02	127788/127788	---M--	200	added ('OK')	image/webp	etag:W/%221f32c-195385c2e7b%22	https://jyywiki.cn/OS/img/njuchat.webp	jyywiki.cn/OS/img/njuchat.webp	(from https://jyywiki.cn/OS/2025/slides/3.0.html)
